# CMD: /usr/bin/time -v /users/Xinying/ozonedb/ycsb/bin/ycsb run ozonedb -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json
# devices=['sda6'] sectors_before=1123197304 sectors_after=1123221680
# elapsed_s=130.72 returncode=0

=== STDOUT ===
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
[OVERALL], RunTime(ms), 120098
[OVERALL], Throughput(ops/sec), 110382.82069643124
[TOTAL_GCS_PS_Scavenge], Count, 211
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 344
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.2864327465902846
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 211
[TOTAL_GC_TIME], Time(ms), 344
[TOTAL_GC_TIME_%], Time(%), 0.2864327465902846
[READ], Operations, 13256756
[READ], AverageLatency(us), 70.20145629896183
[READ], MinLatency(us), 3
[READ], MaxLatency(us), 269055
[READ], 95thPercentileLatency(us), 111
[READ], 99thPercentileLatency(us), 129
[READ], Return=OK, 13256756
[CLEANUP], Operations, 8
[CLEANUP], AverageLatency(us), 59763.375
[CLEANUP], MinLatency(us), 3118
[CLEANUP], MaxLatency(us), 96767
[CLEANUP], 95thPercentileLatency(us), 96767
[CLEANUP], 99thPercentileLatency(us), 96767

=== STDERR ===
[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:ozonedb-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
/usr/lib/jvm/java-8-openjdk-amd64/bin/java -cp /users/Xinying/ozonedb/ycsb/ozonedb/conf:/users/Xinying/ozonedb/ycsb/ozonedb/target/ozonedb-binding-0.18.0-SNAPSHOT.jar:/users/Xinying/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-api/1.7.25/slf4j-api-1.7.25.jar:/users/Xinying/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.12/HdrHistogram-2.1.12.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar:/users/Xinying/.m2/repository/ozonedbjnimaven/demoproc-jni/1.0/demoproc-jni-1.0.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/users/Xinying/ozonedb/ycsb/core/target/core-0.18.0-SNAPSHOT.jar site.ycsb.Client -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
Command line: -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
Maximum execution time specified as: 120 secs
2026-04-28 07:00:44:478 0 sec: 0 operations; 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2026-04-28 07:00:45:477 1 sec: 0 operations; 
2026-04-28 07:02:23:477 99 sec: 10906143 operations; 112173 current ops/sec; [READ: Count=112174, Max=2075, Min=3, Avg=69.56, 90=103, 99=129, 99.9=167, 99.99=1722] 
2026-04-28 07:02:24:477 100 sec: 11018405 operations; 112262 current ops/sec; [READ: Count=112260, Max=1812, Min=3, Avg=69.52, 90=103, 99=128, 99.9=176, 99.99=1608] 
2026-04-28 07:02:25:477 101 sec: 11129942 operations; 111537 current ops/sec; [READ: Count=111543, Max=2363, Min=3, Avg=69.93, 90=104, 99=129, 99.9=199, 99.99=1725] 
2026-04-28 07:02:26:477 102 sec: 11241794 operations; 111852 current ops/sec; [READ: Count=111854, Max=1899, Min=3, Avg=69.77, 90=104, 99=129, 99.9=314, 99.99=1558] 
2026-04-28 07:02:27:477 103 sec: 11353547 operations; 111753 current ops/sec; [READ: Count=111748, Max=1797, Min=3, Avg=69.85, 90=104, 99=129, 99.9=329, 99.99=1572] 
2026-04-28 07:02:28:477 104 sec: 11465533 operations; 111986 current ops/sec; [READ: Count=111986, Max=1866, Min=3, Avg=69.69, 90=104, 99=128, 99.9=183, 99.99=1531] 
2026-04-28 07:02:29:477 105 sec: 11577199 operations; 111666 current ops/sec; [READ: Count=111667, Max=1762, Min=3, Avg=69.91, 90=104, 99=128, 99.9=193, 99.99=1581] 
2026-04-28 07:02:30:477 106 sec: 11689041 operations; 111842 current ops/sec; [READ: Count=111845, Max=1924, Min=3, Avg=69.76, 90=104, 99=129, 99.9=188, 99.99=1621] 
2026-04-28 07:02:31:477 107 sec: 11801241 operations; 112200 current ops/sec; [READ: Count=112202, Max=1688, Min=3, Avg=69.56, 90=103, 99=128, 99.9=197, 99.99=1534] 
2026-04-28 07:02:32:477 108 sec: 11912972 operations; 111731 current ops/sec; [READ: Count=111726, Max=1743, Min=3, Avg=69.85, 90=104, 99=128, 99.9=156, 99.99=1584] 
2026-04-28 07:02:33:477 109 sec: 12024998 operations; 112026 current ops/sec; [READ: Count=112028, Max=1728, Min=3, Avg=69.65, 90=103, 99=128, 99.9=231, 99.99=1554] 
2026-04-28 07:02:34:477 110 sec: 12137137 operations; 112139 current ops/sec; [READ: Count=112135, Max=1695, Min=3, Avg=69.56, 90=103, 99=128, 99.9=158, 99.99=1542] 
2026-04-28 07:02:35:477 111 sec: 12249359 operations; 112222 current ops/sec; [READ: Count=112228, Max=2063, Min=3, Avg=69.51, 90=103, 99=128, 99.9=230, 99.99=1541] 
2026-04-28 07:02:36:477 112 sec: 12361240 operations; 111881 current ops/sec; [READ: Count=111880, Max=1899, Min=3, Avg=69.76, 90=103, 99=129, 99.9=268, 99.99=1631] 
2026-04-28 07:02:37:477 113 sec: 12473175 operations; 111935 current ops/sec; [READ: Count=111930, Max=2031, Min=3, Avg=69.73, 90=103, 99=128, 99.9=179, 99.99=1694] 
2026-04-28 07:02:38:477 114 sec: 12585039 operations; 111864 current ops/sec; [READ: Count=111867, Max=1847, Min=3, Avg=69.75, 90=104, 99=129, 99.9=182, 99.99=1733] 
2026-04-28 07:02:39:477 115 sec: 12696917 operations; 111878 current ops/sec; [READ: Count=111883, Max=1743, Min=3, Avg=69.76, 90=103, 99=129, 99.9=204, 99.99=1665] 
2026-04-28 07:02:40:477 116 sec: 12808898 operations; 111981 current ops/sec; [READ: Count=111977, Max=1610, Min=3, Avg=69.7, 90=103, 99=128, 99.9=303, 99.99=1431] 
2026-04-28 07:02:41:477 117 sec: 12920899 operations; 112001 current ops/sec; [READ: Count=112003, Max=1845, Min=3, Avg=69.69, 90=103, 99=129, 99.9=272, 99.99=1531] 
2026-04-28 07:02:42:477 118 sec: 13032915 operations; 112016 current ops/sec; [READ: Count=112017, Max=1896, Min=3, Avg=69.67, 90=103, 99=129, 99.9=316, 99.99=1538] 
2026-04-28 07:02:43:477 119 sec: 13145052 operations; 112137 current ops/sec; [READ: Count=112133, Max=1691, Min=3, Avg=69.57, 90=103, 99=128, 99.9=164, 99.99=1552] 
2026-04-28 07:02:44:477 120 sec: 13256638 operations; 111586 current ops/sec; [READ: Count=111586, Max=1665, Min=3, Avg=69.94, 90=103, 99=129, 99.9=306, 99.99=1575] 
Maximum time elapsed. Requesting stop for the workload.
Stop requested for workload. Now Joining!
2026-04-28 07:02:44:575 120 sec: 13256756 operations; 1204.08 current ops/sec; [READ: Count=98, Max=122, Min=4, Avg=64.58, 90=104, 99=122, 99.9=122, 99.99=122] [CLEANUP: Count=8, Max=96767, Min=3118, Avg=59763.38, 90=96767, 99=96767, 99.9=96767, 99.99=96767] 
	Command being timed: "/users/Xinying/ozonedb/ycsb/bin/ycsb run ozonedb -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json"
	User time (seconds): 584.04
	System time (seconds): 389.37
	Percent of CPU this job got: 744%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:10.72
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 55104344
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 781
	Minor (reclaiming a frame) page faults: 14063377
	Voluntary context switches: 1698914
	Involuntary context switches: 3314
	Swaps: 0
	File system inputs: 146738245
	File system outputs: 11088
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
